Part name,Quantity,Distributor,Distributor Part Number,Manufacturer,Mfr Part number,Á price,1 Robot Cost,Lead time,Notes
DF45L024048-A –  Brushless DC motor ,4,https://www.nanotec.com/eu/en/products/1786-df45l024048-a,DF45L024048-A,,,818.4,3273.6,In stock,"BLDC motors for the wheels, compact size, light weight, contains hall sensors for encoder feedback
Sensored ESC is required if these are used"
Hobbywing FPV XRotor 3110 900KV ,1,https://www.elefun.se/p/prod.aspx?v=65193,65193,https://www.hobbywing.com/,HW30418005,219,219,In stock,BLDC motor for the dribbler
6s 1300mAh -120C - GNB HV XT60 ,1,https://www.elefun.se/p/prod.aspx?v=63197,63197,http://www.gaonengbattery.com/,GNB13006S120AHV,442,442,In stock,Battery
"M3 16mm galvanized steel countersunk screw, 100 pack",1,https://www.elfa.se/sv/foersaenkt-skruv-foersaenkt-huvud-torx-t10-m3-16mm-paket-med-100-delar-rnd-rnd-610-00397/p/30172632,301-72-632,https://www.elfa.se/sv/manufacturer/rnd/man_rnd,RND 610-00397,21.6,21.6,In stock,
"M3 galvanized steel locking washers, 200 pack",1,https://www.elfa.se/sv/lasbricka-m3-foerzinkat-stal-bossard-az-2x6x0/p/30071826,300-71-826,https://www.bossard.com/se-sv/,"AZ 3,2X6X0,4",69.7,69.7,In stock,
"M3 stainless steel nut, 100 pack",1,https://www.elfa.se/sv/sexkantsmutter-m3-4mm-rostfritt-stal-rnd-rnd-610-00485/p/30172720?trackQuery=M3%20mutter&pos=5&origPos=15&origPageSize=50&track=true&sid=M0wWd0RlWg&itemList=search,301-72-720,https://www.elfa.se/sv/manufacturer/rnd/man_rnd,RND 610-00485,21.85,21.85,In stock,
PHR-6,8,https://www.elfa.se/sv/hylskontakthus-crimpanslutning-uttag-sockel-positioner-2mm-jst-phr/p/14301984?redirectQuery=PHR-6,143-01-984,https://www.elfa.se/sv/manufacturer/jst/man_jst,PHR-6,1.07,8.56,In stock,Hall sensor connector for the motor
B6B-PH-K-S,10,https://www.elfa.se/sv/stiftlist-enradig-rak-6p-kontaktdon-anslutningsdon-positioner-2mm-jst-b6b-ph/p/14301948?itemList=compatible,143-01-948,https://www.elfa.se/sv/manufacturer/jst/man_jst,B6B-PH-K-S,5.43,54.3,In stock,Hall sensor connector for the motor
VHR-5N,10,https://www.elfa.se/sv/crimp-kontakthus-uttag-sockel-positioner-96mm-jst-vhr-5n/p/30021738,300-21-738,https://www.elfa.se/sv/manufacturer/jst/man_jst,VHR-5N,2.22,22.2,In stock,Motor connectors
X-RING 3.63X2.62/NBR70,100,https://webbshop.teknikprodukter.se/x-ring-3-63x2-62-nbr70-2111395n70,2111395N70,,,6.2,620,in stock,Price dependent on the amount you buy
SENS,1,https://www.mouser.se/ProductDetail/DFRobot/SEN0374?qs=81r%252BiQLm7BRSXhV57X59YA%3D%3D,426-SEN0374,https://www.mouser.se/manufacturer/dfrobot/,SEN0374 ,191.48,191.48,4 left in stock,9Dof IMU
Raspberry Pi RTC,1,https://www.mouser.se/ProductDetail/Seeed-Studio/103030277?qs=0lSvoLzn4L8soh3xbH07wQ%3D%3D,713-103030277,https://www.mouser.se/manufacturer/seeed-studio/,103030277,1,47.61,In stock,
"LT3751
",2,https://www.mouser.se/ProductDetail/Analog-Devices/LT3751IFEPBF?qs=hVkxg5c3xu8wGIOCrD9eEw%3D%3D,584-LT3751IFE#PBF,https://www.mouser.se/manufacturer/analog-devices/,LT3751IFE#PBF,147.09,294.18,In stock,"Capacitor charging controller for kicker
"
LM74500QDDFRQ1 ,2,https://www.mouser.se/ProductDetail/Texas-Instruments/LM74500QDDFRQ1?qs=stqOd1AaK7%252BDaolIEn1S7g%3D%3D,595-LM74500QDDFRQ1 ,https://www.mouser.se/manufacturer/texas-instruments/,LM74500QDDFRQ1,16.45,32.9,In stock,Reverse polarity protection
PSMN6R7-40MLDX,2,https://www.mouser.se/ProductDetail/Nexperia/PSMN6R7-40MLDX?qs=XeJtXLiO41T0U8eRNXd8kw%3D%3D,771-PSMN6R7-40MLDX,https://www.mouser.se/manufacturer/nexperia/,PSMN6R7-40MLDX,5.77,11.54,In stock,Mosfet used with the reverse polarity protection component
NUCLEO-H723ZG,1,https://www.mouser.se/ProductDetail/511-NUCLEO-H723ZG,511-NUCLEO-H723ZG ,https://www.mouser.se/manufacturer/stmicroelectronics/,NUCLEO-H723ZG,322.58,322.58,In stock,"If we do not develop our own pcb this microcontroller can be used instead of the ESP32 microcontroll-
Er, ADC, communication, supports micro ros"
SX1280IMLTRT,1,https://www.mouser.se/ProductDetail/Semtech/SX1280IMLTRT?qs=5aG0NVq1C4xuoq8G6ZzdxQ%3D%3D,947-SX1280IMLTRT ,https://www.mouser.se/manufacturer/semtech/,SX1280IMLTRT,75.44,75.44,In stock,RF Transceiver Long range 2.4 GHz Wireless Transceiver 
SKY66122-11 ,1,https://www.mouser.se/ProductDetail/Skyworks-Solutions-Inc/SKY66122-11?qs=stqOd1AaK7%2F9zH4JdBCX2A%3D%3D,873-SKY66122-11 ,https://www.mouser.se/manufacturer/skyworks-solutions/,SKY66122-11,40.48,40.48,In stock,"RF Front End OFDM, 863 to 928 MHz, Wi-SUN, FEM"
B-G431B-ESC1 ,5,https://www.mouser.se/ProductDetail/511-B-G431B-ESC1,511-B-G431B-ESC1,https://www.mouser.se/manufacturer/stmicroelectronics/,B-G431B-ESC1 ,208.96,1044.8,In stock ,Datasheet
VS-5EWH06FN-M3,4,https://www.mouser.se/ProductDetail/Vishay-Semiconductors/VS-5EWH06FN-M3?qs=ohrVuHkW6%2B1ETHMSEVxB2w==&utm_id=20109199574&gad_source=1&gbraid=0AAAAADn_wf0iqmbyEIrHk94RoAE8pueAV&gclid=CjwKCAjw68K4BhAuEiwAylp3kkUhPQEsxGR2BbXjRA3J0kwHFp9DOkkonVSy_6fpQqlnunBowRoUuhoCg2EQAvD_BwE,78-VS-5EWH06FN-M3,https://www.mouser.se/manufacturer/vishaysemiconductors/,VS-5EWH06FN-M3,10,48,In stock ,Kicker circuit
SMAJ20A,3,https://www.mouser.se/ProductDetail/Littelfuse/SMAJ20A?qs=HR2RnyOI4E7FY3VLFaXmhw==&utm_id=9882662541&gad_source=1&gbraid=0AAAAADn_wf1h9lzmcgBLXeb2h0wUnr6U4&gclid=CjwKCAjw68K4BhAuEiwAylp3kioODCdRLXwvQvxBdVM4QeCjVHRZCtuyZR5pZ5cNe4qf_hsuwysJxBoCqcsQAvD_BwE,576-SMAJ20A,https://www.mouser.se/manufacturer/littelfuse/,SMAJ20A,4,28,In stock ,Kicker circuit
TLP3910(C20-TP,3,https://www.mouser.se/ProductDetail/Toshiba/TLP3910C20-TPE?qs=TuK3vfAjtkUvVtweYOqjVw==,757-TLP3910C20-TPE,https://www.mouser.se/manufacturer/toshiba-semiconductors/,TLP3910(C20-TP,36,46,In stock ,Kicker circuit
ECW-FD2J823KQ,3,https://www.mouser.se/ProductDetail/Panasonic/ECW-FD2J823KQ?qs=7EBvPakHacV3NgMNuq1u4w==&srsltid=AfmBOopeS3yF4UG6Afqi-b8p9h2H2R0KgFG4iRSJpDmPxkPMuCV7R19M,667-ECW-FD2J823KQ,https://www.mouser.se/manufacturer/panasonicec/,ECW-FD2J823KQ,6,64,In stock ,Kicker circuit
CKG57NX7R2J474M500JH,3,https://www.mouser.se/ProductDetail/TDK/CKG57NX7R2J474M500JH?qs=NRhsANhppD%2BAmXDR5rVERg==&srsltid=AfmBOoq6Cuxbd6nyCQIY5tVuTNmRS7V2PxFLS3vDo-BHIQXRtagcsRo6,810-CKG57NX7R2J474M,https://www.mouser.se/manufacturer/tdk/,CKG57NX7R2J474M500JH,46,58,In stock ,Kicker circuit
US1M,3,https://www.mouser.se/ProductDetail/Taiwan-Semiconductor/US1M?qs=tHU/lV7kTyQtvhnvJdnZJw==,821-US1M,https://www.mouser.se/manufacturer/taiwan-semiconductor/,US1M,3,11,In stock ,Kicker circuit
FQB4N80TM,3,https://www.mouser.se/ProductDetail/onsemi-Fairchild/FQB4N80TM?qs=FOlmdCx%2BAA3dgdfgWff8ng==,512-FQB4N80TM,https://www.mouser.se/manufacturer/fairchild-semiconductor/,FQB4N80TM,25,7,In stock ,Kicker circuit
IKB40N65ES5ATMA1,2,https://www.mouser.se/ProductDetail/Infineon-Technologies/IKB40N65ES5ATMA1?qs=MLItCLRbWsxz7jtfFbVz2w%3D%3D,726-IKB40N65ES5ATMA1,,IKB40N65ES5ATMA1 ,43.93,87.86,,Kicker Circuit
195207-231,1,https://www.mouser.se/ProductDetail/Ledex/195207-231?qs=byeeYqUIh0N3hSxJ8HFfVg==,906-195207-231,https://www.mouser.se/manufacturer/ledex/,195207-231,426,19,In stock ,Kicker circuit
Wheel hub 4mm,4,https://www.electrokit.com/axelnav-med-klamfaste-4mm,41020172,https://www.gobilda.com/,1309-0016-0004,139,556,in stock,Kicker circuit
Raspberry Pi 4 Model B/8GB ,1,https://www.electrokit.com/raspberry-pi-4-model-b/8gb,41017664 - Raspberry Pi,https://www.raspberrypi.com/,,979,979,In stock,Can be substituted with Raspberry Pi 4 Model B/4GB
Raspberry Pi Kameramodul 3,1,https://www.electrokit.com/raspberry-pi-kameramodul-3-12mp-75,41020240 - Raspberry Pi,https://www.raspberrypi.com/,,369,369,In stock,Needs to be ordered with Raspberry Pi 4 Model B/8GB or Raspberry Pi 4 Model B/4GB
