"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C7, C8, C11, C14, C16, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C34, C36, C50, C52, C54","29","100n","Base Station v3b:C0603",""
"2","C9, C10, C15, C17, C18, C32, C57, C58","8","10u","Base Station v3b:C0603",""
"3","C12, C13","2","3p","Base Station v3b:C0603",""
"4","C33, C44","2","0p5","Base Station v3b:C0402",""
"5","C35, C37, C51, C53, C55, C59, C60, C61, C62","9","1n","Base Station v3b:C0603",""
"6","C38","1","100p","Base Station v3b:C0402",""
"7","C39, C47","2","47p","Base Station v3b:C0402",""
"8","C40, C43, C48","3","NA","Base Station v3b:C0402",""
"9","C41, C42","2","1p2","Base Station v3b:C0402",""
"10","C45","1","1u","Base Station v3b:C0603",""
"11","C46, C56","2","10n","Base Station v3b:C0603",""
"12","C49","1","0p7","Base Station v3b:C0402",""
"13","ETH0","1","SI-60062-F","Base Station v3b:RJ45-LED",""
"14","IC1","1","741G125DBV","Base Station v3b:SOT23-5",""
"15","IC2","1","FT2232ST","Base Station v3b:LQFP48-ST",""
"16","IC3","1","SC189-3.3","Base Station v3b:SOT23-5",""
"17","IC4","1","9376?B","Base Station v3b:SOT23-6",""
"18","IC5","1","STM32F767VIT6","Base Station v3b:LQFP100-ST",""
"19","IC6","1","CP11009","Base Station v3b:CP11009-THX",""
"20","IC7","1","DP83848CVV","Base Station v3b:LQFP48",""
"21","IC8","1","SKY66112","Base Station v3b:SMCM-22",""
"22","IC9","1","SX1280","Base Station v3b:QFN24L",""
"23","IC10","1","LP5907MFX-3.3","Base Station v3b:SOT23-5L",""
"24","L1, L3, L4, L5","4","120R","Base Station v3b:0603",""
"25","L2","1","2u2","Base Station v3b:IHLP1616",""
"26","LED1","1","rd","Base Station v3b:CHIP-LED0603",""
"27","LED2, LED3, PWR0, UNK100MBIT0","4","gr","Base Station v3b:CHIP-LED0603",""
"28","Q1","1","CSTCR6M00G55-R0","Base Station v3b:CSTCR6M",""
"29","Q2","1","ABS07W-32.768KHZ","Base Station v3b:CRYSTAL-07W",""
"30","Q3","1","25MHz","Base Station v3b:7X",""
"31","Q4","1","FL520WFMT1","Base Station v3b:CRYSTAL-7M",""
"32","R1, R6, R7, R9, R10, R11, R12, R13, R22","9","1k","Base Station v3b:R0603",""
"33","R2, R3","2","33","Base Station v3b:R0603",""
"34","R4, R14","2","1k5","Base Station v3b:R0603",""
"35","R5","1","1M","Base Station v3b:R0603",""
"36","R8, R17","2","4k87","Base Station v3b:R0603",""
"37","R15, R16","2","2k2","Base Station v3b:R0603",""
"38","R18, R21","2","3n","Base Station v3b:R0402",""
"39","R19, R20","2","2n4","Base Station v3b:R0402",""
"40","RESET1","1","BUTTON4","Base Station v3b:BUTTON4",""
"41","RN1","1","10k","Base Station v3b:EXB28V",""
"42","RN2, RN3, RN4, RN5, RN6, RN8, RN9, RN10, RN11, RN12","10","100","Base Station v3b:EXB28V",""
"43","RN7","1","N/A","Base Station v3b:EXB28V",""
"44","USB1","1","USB-BU","Base Station v3b:USB-BMICRO",""
"45","X1","1","3034TR","Base Station v3b:CR2025",""
"46","X2, X3","2","ANT-SMA-EDGERA","Base Station v3b:ANT-SMA-RA",""
