pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
122.5011,-73.5036,0.0,top,@HOLE0,,,,,tht
122.5011,-136.5036,0.0,top,@HOLE1,,,,,tht
174.5011,-105.0036,0.0,top,@HOLE2,,,,,tht
150.7749,-66.8586,-90.0,top,C1,,,C0603,100n,tht
126.8036,-76.3836,90.0,top,C10,,,C0603,10u,tht
157.6011,-73.5261,0.0,top,C11,,,C0603,100n,tht
153.4736,-99.5611,-90.0,top,C12,,,C0603,3p,tht
153.4736,-91.9411,90.0,top,C13,,,C0603,3p,tht
138.5511,-79.8761,0.0,top,C14,,,C0603,100n,tht
121.4061,-78.2886,180.0,top,C15,,,C0603,10u,tht
151.4099,-90.0361,-90.0,top,C16,,,C0603,100n,tht
135.6936,-82.8923,180.0,top,C17,,,C0603,10u,tht
130.7723,-99.4023,-90.0,top,C18,,,C0603,10u,tht
132.2011,-100.3549,90.0,top,C19,,,C0603,100n,tht
142.0436,-63.6836,180.0,top,C2,,,C0603,100n,tht
134.5824,-84.3211,0.0,top,C20,,,C0603,100n,tht
147.1236,-102.7361,180.0,top,C21,,,C0603,100n,tht
150.9336,-93.8461,-90.0,top,C22,,,C0603,100n,tht
148.0761,-84.0036,0.0,top,C23,,,C0603,100n,tht
156.6486,-78.1298,0.0,top,C24,,,C0603,100n,tht
175.6986,-96.7036,90.0,top,C25,,,C0603,100n,tht
175.0636,-88.4486,0.0,top,C26,,,C0603,100n,tht
165.0623,-86.0673,180.0,top,C27,,,C0603,100n,tht
161.4111,-95.9099,180.0,top,C28,,,C0603,100n,tht
161.7286,-87.8136,180.0,top,C29,,,C0603,100n,tht
141.4086,-77.0186,90.0,top,C3,,,C0603,100n,tht
175.0636,-92.8936,0.0,top,C30,,,C0603,100n,tht
175.0636,-87.0199,0.0,top,C31,,,C0603,100n,tht
175.0636,-85.5911,0.0,top,C32,,,C0603,10u,tht
144.5837,-121.9449,0.0,top,C33,,,C0402,0p5,tht
131.4073,-123.2148,180.0,top,C34,,,C0603,100n,tht
131.4074,-124.6437,180.0,top,C35,,,C0603,1n,tht
134.1062,-127.6599,-90.0,top,C36,,,C0603,100n,tht
135.5349,-127.6599,-90.0,top,C37,,,C0603,1n,tht
148.0762,-123.2149,180.0,top,C38,,,C0402,100p,tht
156.6486,-131.3111,-90.0,top,C39,,,C0402,47p,tht
145.6486,-75.7523,0.0,top,C4,,,C0603,100n,tht
139.3449,-123.8499,-90.0,top,C40,,,C0402,NA,tht
142.8374,-123.8499,-90.0,top,C41,,,C0402,1p2,tht
146.3299,-123.8499,-90.0,top,C42,,,C0402,1p2,tht
156.0136,-133.2161,180.0,top,C43,,,C0402,NA,tht
156.0136,-137.0261,180.0,top,C44,,,C0402,0p5,tht
131.4074,-126.0724,180.0,top,C45,,,C0603,1u,tht
137.4399,-118.7699,90.0,top,C46,,,C0603,10n,tht
138.7099,-131.3111,-90.0,top,C47,,,C0402,47p,tht
138.0749,-133.2161,180.0,top,C48,,,C0402,NA,tht
138.0749,-137.0261,180.0,top,C49,,,C0402,0p7,tht
138.7099,-68.7636,-90.0,top,C5,,,C0603,100n,tht
156.8073,-120.8336,90.0,top,C50,,,C0603,100n,tht
155.3786,-120.8336,90.0,top,C51,,,C0603,1n,tht
