"Position","Name","Type","Signal","Label"
"1","PE2","I/O","USART10_RX","M4_RX"
"2","PE3","I/O","USART10_TX","M4_TX"
"3","PE4","I/O","",""
"4","PE5","I/O","TIM15_CH1","M2_PWM"
"5","PE6","I/O","",""
"6","VBAT","Power","",""
"7","PC13","Input","GPIO_Input","B1 (Blue_User_Button)"
"8","PC14-OSC32_IN","I/O","RCC_OSC32_IN",""
"9","PC15-OSC32_OUT","I/O","RCC_OSC32_OUT",""
"10","PF0","I/O","I2C5_SDA","VL53L4CD2_SDA"
"11","PF1","I/O","I2C5_SCL","VL53L4CD2_SCL"
"12","PF2","Output","GPIO_Output","VL53L4CD_SHUT"
"13","PF3","Output","GPIO_Output","VL53L4CD_INT"
"14","PF4","Output","GPIO_Output","VL53L4CD2_INT"
"15","PF5","Output","GPIO_Output","VL53L4CD2_SHUT"
"16","VSS","Power","",""
"17","VDD","Power","",""
"18","PF6","I/O","TIM23_CH1","M3_PWM"
"19","PF7","I/O","",""
"20","PF8","I/O","",""
"21","PF9","I/O","",""
"22","PF10","I/O","",""
"23","PH0-OSC_IN","I/O","RCC_OSC_IN","MCO"
"24","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"25","NRST","Reset","",""
"26","PC0","I/O","",""
"27","PC1","I/O","ETH_MDC","RMII_MDC"
"28","PC2_C","I/O","SPI2_MISO","RF_MISO"
"29","PC3_C","I/O","SPI2_MOSI","RF_MOSI"
"30","VDD","Power","",""
"31","VSSA","Power","",""
"32","VREF+","MonoIO","",""
"33","VDDA","Power","",""
"34","PA0","I/O","TIM5_CH1","M1_PWM"
"35","PA1","I/O","TIM2_CH2","M1_Encoder_B"
"36","PA2","I/O","USART2_TX","M2_TX"
"37","PA3","I/O","USART2_RX","M2_RX"
"38","VSS","Power","",""
"39","VDD","Power","",""
"40","PA4","Output","GPIO_Output","WSENS_CS"
"41","PA5","I/O","SPI1_SCK","WSENS_SCL"
"42","PA6","I/O","SPI1_MISO","WSENS_SAO"
"43","PA7","I/O","ETH_CRS_DV","RMII_CRS_DV"
"44","PC4","I/O","ETH_RXD0","RMII_RXD0"
"45","PC5","I/O","ETH_RXD1","RMII_RXD1"
"46","PB0","Output","GPIO_Output","LED_GREEN"
"47","PB1","I/O","",""
"48","PB2","I/O","",""
"49","PF11","I/O","TIM24_CH1","M4_PWM"
"50","PF12","I/O","",""
"51","VSS","Power","",""
"52","VDD","Power","",""
"53","PF13","I/O","",""
"54","PF14","I/O","I2C4_SCL","ADPS-9960_SCL"
"55","PF15","I/O","I2C4_SDA","ADPS-9960_SDA"
"56","PG0","I/O","",""
"57","PG1","I/O","",""
"58","PE7","I/O","",""
"59","PE8","I/O","",""
"60","PE9","I/O","",""
"61","VSS","Power","",""
"62","VDD","Power","",""
"63","PE10","I/O","",""
"64","PE11","I/O","",""
"65","PE12","I/O","",""
"66","PE13","I/O","",""
"67","PE14","I/O","",""
"68","PE15","Output","GPIO_Output","RF_CS"
"69","PB10","I/O","I2C2_SCL","VL53L4CD_SCL"
"70","PB11","I/O","I2C2_SDA","VL53L4CD_SDA"
"71","VCAP","Power","",""
"72","VDD","Power","",""
"73","PB12","I/O","UART5_RX","Rpi_RX"
"74","PB13","I/O","ETH_TXD1","RMII_TXD1"
"75","PB14","I/O","TIM12_CH1","M5_PWM"
"76","PB15","I/O","USART1_RX","M1_RX"
"77","PD8","I/O","USART3_TX","STLK_VCP_RX"
"78","PD9","I/O","USART3_RX","STLK_VCP_TX"
"79","PD10","Output","GPIO_Output",""
"80","PD11","I/O","",""
"81","PD12","I/O","TIM4_CH1","M3_Encoder_A"
"82","PD13","Output","GPIO_Output","SEN0374_INT"
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","Output","GPIO_Output","SEN0374_Boot"
"86","PD15","Output","GPIO_Output","SEN0374_PS1"
"87","PG2","Output","GPIO_Output","SEN0374_PS2"
"88","PG3","Output","GPIO_Output","SEN0374_BL-IND"
"89","PG4","Output","GPIO_Output","SEN0374_RST"
"90","PG5","Output","GPIO_Output",""
"91","PG6","Output","GPIO_Output","ADPS-9960_INT"
"92","PG7","I/O","GPIO_EXTI7","USB_FS_OVCR"
"93","PG8","Output","GPIO_Output","VL6180_IO1"
"94","VSS","Power","",""
"95","VDD33USB","Power","",""
"96","PC6","I/O","TIM8_CH1","M4_Encoder_A"
"97","PC7","I/O","TIM8_CH2","M4_Encoder_B"
"98","PC8","Output","GPIO_Output","VL6180_IO0"
"99","PC9","I/O","I2C3_SDA","VL6180_SDA"
"100","PA8","I/O","I2C3_SCL","VL6180_SCL"
"101","PA9","I/O","USB_OTG_HS_VBUS","USB_FS_VBUS"
"102","PA10","I/O","USB_OTG_HS_ID","USB_FS_ID"
"103","PA11","I/O","USB_OTG_HS_DM","USB_FS_DM"
"104","PA12","I/O","USB_OTG_HS_DP","USB_FS_DP"
"105","PA13(JTMS/SWDIO)","I/O","DEBUG_JTMS-SWDIO","SWDIO"
"106","VCAP","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14(JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK","SWCLK"
"110","PA15(JTDI)","I/O","TIM2_CH1","M1_Encoder_A"
"111","PC10","I/O","UART4_TX","M5_TX"
"112","PC11","I/O","UART4_RX","M5_RX"
"113","PC12","I/O","UART5_TX","Rpi_TX"
"114","PD0","I/O","",""
"115","PD1","I/O","",""
"116","PD2","I/O","",""
"117","PD3","I/O","SPI2_SCK","RF_SCK"
"118","PD4","I/O","",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDD","Power","",""
"122","PD6","I/O","",""
"123","PD7","I/O","SPI1_MOSI","WSENS_SDA"
